3640	37022
3638	20538
3639	30971
3630	161609
3631	227780
3632	2174
3633	2548
3634	63241
3635	218175
3636	11294
3637	114409
3650	87672
3651	153598
3649	232881
1	1433
2	13728
3	11221
4	14617
5	17333
6	79714
7	2461
8	3653
3641	79466
9	27607
3642	135519
3643	144819
3644	168163
3645	117096
3646	12498
3647	29153
3648	60984
3660	37596
3661	218690
3662	91691
3652	2007
3653	2455
3654	5926
3655	9208
3656	147566
3657	18697
3658	18762
3659	19895
3670	17130
3671	17681
3672	20743
3673	40517
3663	146164
3664	173360
3665	187177
3666	216584
3667	135012
3668	52501
3669	16196
3680	128328
3681	135735
3682	199549
3683	233089
3684	127
128710	152639
128708	152429
128709	158906
3674	139150
128700	150520
3675	56940
128701	154318
3676	46681
128702	151297
3677	54898
128703	151350
3678	65617
128704	151560
3679	101257
128705	181049
128706	205658
128707	152149
3690	39486
3691	42391
3692	84483
3693	76539
3694	191829
3695	202953
3685	96899
3686	5447
3687	213267
3688	78164
3689	25913
3696	603
3697	93611
3698	3025
3699	215403
128750	160409
128751	207558
128752	163889
128753	160873
128754	164794
153710	222089
114103	191319
153711	222288
114104	191728
153712	222638
114105	194645
153713	222677
114106	192337
153714	222885
114107	192418
153715	222958
114108	192976
153716	223728
114109	193159
153717	223108
153718	225667
36407	158904
153719	223317
36408	162740
36409	161719
114110	193403
114111	193542
114112	193578
114113	193651
128744	158795
36400	146927
128745	159141
36401	149432
128746	159517
36402	151346
128747	159915
36403	151776
128748	160250
36404	153198
128749	219834
36405	157729
36406	156318
128740	158203
128741	189690
128742	158269
128743	158690
153700	220517
153701	220832
153702	220979
153703	221228
153704	221414
153705	257893
153706	221627
153707	221681
153708	224994
153709	222085
114100	190874
114101	190956
114102	191006
128733	170399
128734	158036
128735	157157
128736	157212
128737	157454
128738	157712
128739	157722
128730	156569
153730	224583
128731	156846
153731	224614
128732	156879
153732	224791
153733	224944
153734	227086
153735	225253
153736	225291
153737	230257
153738	244393
153739	226655
128722	154936
128723	173952
128724	155612
128725	155692
128726	156157
128727	156139
128728	208574
128729	156465
128720	154244
153720	223406
128721	154821
153721	223529
153722	223542
153723	223730
153724	226705
153725	224208
153726	224357
153727	224368
153728	243658
153729	224465
128719	154203
128711	165381
128712	157006
128713	156889
128714	153101
128715	153288
128716	153486
128717	240001
128718	153760
128791	169261
128792	168386
128793	168977
128794	169116
128795	169502
128796	169635
128797	169887
128798	169995
114147	200014
114148	202624
114149	200332
128790	168139
114150	220892
114151	200450
114152	200587
114153	204832
114154	200811
114155	200885
114156	201205
114157	201390
128788	179034
128789	171210
128780	172097
128781	166079
128782	165817
128783	165782
128784	166486
128785	171592
128786	167740
128787	167896
114136	197801
114137	197934
114138	197936
114139	266830
114140	198572
114141	198944
114142	199292
114143	199297
114144	199358
114145	199764
114146	256977
128777	165675
128778	164969
128779	165040
128770	163197
128771	200205
128772	163485
128773	163579
128774	163584
128775	164074
128776	166050
